time,ethylbenzene_amean,isoprene_amean,x2_2_4_trimethylpentane_amean,x1_2_3_trimethylbenzene_amean,x1_3_5_trimethylbenzene_amean,n_heptane_amean,m_p_xylene_amean,toluene_amean,n_octane_amean,o_xylene_amean,benzene_amean,x1_2_4_trimethylbenzene_amean
29-Apr-2015 00:00:00,63.636,NaN,6.163,56.447,56.635,10.66,88.14,84.907,48.56,47.301,132.462,55.04
30-Apr-2015 09:59:45,60.923,NaN,5.342,56.334,56.289,33.489,85.224,53.035,88.812,47.408,134.61,54.827
01-May-2015 00:00:00,4.698,NaN,NaN,16.471,14.055,NaN,83.972,126.982,46.239,39.676,126.3,34.272
05-May-2015 09:59:45,NaN,NaN,NaN,6.291,NaN,NaN,NaN,NaN,43.162,NaN,26.697,NaN
06-May-2015 00:00:00,NaN,NaN,NaN,5.888,NaN,NaN,NaN,NaN,29.843,NaN,37.917,NaN
07-May-2015 09:59:45,NaN,NaN,NaN,11.531,NaN,NaN,NaN,NaN,32.625,NaN,81.676,3.331
08-May-2015 00:00:00,4.099,NaN,16.473,20.959,NaN,NaN,42.045,495.402,14.05,23.983,154.792,43.027
12-May-2015 09:59:45,55.346,NaN,40.15,100.817,133.957,27.28,13.791,63.98,20.961,115.073,125.941,120.751
13-May-2015 00:00:00,NaN,NaN,2.605,12.176,NaN,NaN,14.193,47.46,NaN,10.383,69.28,20.575
14-May-2015 09:59:45,49.711,31.558,4.767,19.246,NaN,34.703,NaN,214.675,75.486,5.585,351.067,34.948
15-May-2015 00:00:00,NaN,NaN,NaN,71.122,61.144,NaN,14.429,NaN,20.094,20.541,111.834,169.37
19-May-2015 09:59:45,409.111,NaN,40.389,146.878,99.585,110.733,894.545,1086.548,93.014,207.247,309.995,332.497
20-May-2015 00:00:00,87.027,48.463,29.207,96.779,120.76,61.452,NaN,183.961,69.977,108.542,160.414,91.709
21-May-2015 09:59:45,442.637,72.208,55.01,146.317,103.249,147.453,1058.929,1255.215,99.083,217.561,399.022,357.717
22-May-2015 00:00:00,66.163,NaN,89.653,106.89,149.878,48.911,13.044,213.091,74.673,110.058,132.352,143.483
26-May-2015 09:59:45,NaN,NaN,26.041,89.641,114.099,19.354,NaN,NaN,32.842,88.133,94.103,77.803
27-May-2015 00:00:00,NaN,NaN,32.005,93.382,119.467,12.145,NaN,NaN,42.721,87.918,101.009,81.292
28-May-2015 09:59:45,NaN,NaN,23.532,87.464,96.549,22.988,NaN,NaN,61.575,58.056,50.354,48.65
29-May-2015 00:00:00,NaN,NaN,28.553,92.036,81.027,36.685,NaN,69.016,70.274,67.763,88.779,68.581
02-Jun-2015 09:59:45,NaN,38.769,25.195,93.057,97.559,42.394,NaN,5.299,99.058,86.967,129.812,76.672
03-Jun-2015 00:00:00,NaN,NaN,21.545,84.598,104.763,NaN,NaN,NaN,NaN,76.537,53.053,55.104
04-Jun-2015 09:59:45,NaN,4.477,29.834,92.041,119.765,22.777,NaN,41.001,55.305,92.097,79.591,76.328
05-Jun-2015 00:00:00,NaN,NaN,46.806,108.895,165.097,92.964,NaN,995.747,116.301,82.512,135.269,144.256
11-Jun-2015 09:59:45,NaN,103.176,97.563,85.752,138.811,46.859,NaN,275.448,40.068,65.873,109.304,83.625
12-Jun-2015 00:00:00,NaN,NaN,31.599,91.664,95.658,30.873,NaN,77.686,67.834,50.83,53.78,81.793
16-Jun-2015 09:59:45,NaN,NaN,29.837,96.45,142.392,37.912,NaN,65.307,64.621,56.364,75.463,102.581
17-Jun-2015 00:00:00,84.996,NaN,41.715,101.425,137.179,63.389,55.505,353.413,101.749,120.26,160.212,132.486
18-Jun-2015 09:59:45,NaN,39.478,26.566,94.029,86.004,51.076,NaN,106.713,86.612,10.311,98.346,90.041
19-Jun-2015 00:00:00,NaN,13.95,31.235,93.64,87.374,33.062,NaN,16.408,58.255,3.386,99.582,88.386
23-Jun-2015 09:59:45,51.786,22.528,27.864,93.855,120.715,12.989,28.347,105.192,26.221,106.15,69.586,91.848
24-Jun-2015 00:00:00,93.729,NaN,52.182,102.13,101.072,51.624,209.863,515.438,29.203,139.025,151.51,132.292
30-Jun-2015 09:59:45,127.092,34.706,28.166,89.869,134.582,16.849,282.076,65.517,49.802,153.185,36.843,90.466
01-Jul-2015 00:00:00,NaN,NaN,27.959,90.976,137.187,30.161,NaN,68.872,74.386,94.48,36.979,94.928
02-Jul-2015 09:59:45,498.801,42.042,25.527,18.985,NaN,20.074,2042.989,324.085,27.174,527.68,128.469,94.365
03-Jul-2015 00:00:00,38.324,NaN,15.74,20.145,29.342,20.466,550.409,287.859,44.113,NaN,233.592,75.824
07-Jul-2015 09:59:45,NaN,698.337,NaN,33.304,NaN,83.056,NaN,456.473,95.097,NaN,138.781,106.194
08-Jul-2015 00:00:00,NaN,271.405,0.075,60.498,NaN,97.026,NaN,546.957,114.519,NaN,142.78,200.064
