S.No,Na,SO42-,NH4+,NO3-,Cl-,Ca,K+,Mg,RH ,Temp ©,Temp,ALWC
94,555.1902072,1155.730373,706.7128161,1818.628927,123.6167615,330.0282768,45.95292522,91.48671221,66.3131,15.6571,288.8071,2674
95,138.6393502,1567.841814,421.9787822,935.1506823,14.14584226,20.63584982,56.70358943,16.82459079,66.2049,16.934,290.084,1844
96,116.9551549,509.5071847,182.5797557,73.51353246,99.42511346,1104.472627,34.24965536,93.18072496,81.5986,14.6222,287.7722,1331
97,987.0300584,320.6719782,22.46034682,261.6169399,1103.919158,41.27475536,56.01791488,118.9435172,85.665,13.9147,287.0647,11050
98,474.7259754,1297.772056,440.0444872,1420.224057,145.4840195,58.73176159,158.0311104,72.88690672,75.1115,13.9168,287.0668,4304
99,350.1776547,283.0914795,88.51365605,404.8948662,141.835053,24.84921664,27.3703839,41.26816321,83.6235,12.6202,285.7702,2485
100,1146.916729,656.2178697,256.6408548,1534.227218,698.8719449,221.3095955,65.45433499,149.9358174,68.8333,13.5095,286.6595,4536
101,373.6255109,844.429286,335.1821288,1025.778379,27.40176157,649.1603946,55.34929599,93.11366778,57.1854,13.4489,286.5989,1359
102,51.07694441,1682.417323,860.6671244,735.6175039,39.42943773,910.2139914,74.91371371,87.56174977,59.5394,13.6799,286.8299,485.6
103,70.19254198,1920.523457,1754.131994,3293.542042,109.6856043,91.48258279,99.73352718,19.26186775,90.9086,14.1584,287.3084,21850
104,1109.92842,513.0864804,70.24233712,603.8428733,1379.698017,83.64297424,70.98312839,136.0516647,76.2012,11.8626,285.0126,7835
105,72.28602027,1712.79473,1262.234233,2502.341213,82.91705157,167.2600803,89.40574062,27.05474181,79.5825,11.1977,284.3477,6667
106,278.5739087,2741.285559,3034.156496,5320.133689,88.09608412,363.9935798,143.5597706,64.28207855,77.5151,5.93499,279.08499,10990
107,47.91110041,2744.214991,2833.40638,5320.766933,67.86422884,23.82257559,122.5386437,5.511834906,90.8675,8.10529,281.25529,34060
108,79.1030238,3686.838269,3634.984727,8303.201316,145.1373729,612.0454731,165.7060991,39.53151551,87.418,10.1265,283.2765,29830
109,120.4721992,462.7405483,532.5414438,1156.047791,30.07191781,40.36155247,46.34684442,17.43044635,82.5254,11.5981,284.7481,3242
110,224.1180363,843.5987412,597.1308755,1392.065678,126.4961359,56.20002274,85.27658622,29.81714017,85.3704,12.4557,285.6057,5703
111,125.5770639,1109.467607,494.3246449,488.6048477,2.17955596,218.0605731,93.49094843,29.99509197,88.8507,10.7203,283.8703,3484
112,43.73628682,1026.978266,1465.956986,2768.813124,58.05073686,136.0635561,137.5084992,12.57085668,86.9224,11.0559,284.2059,9901
113,92.67681908,2728.876725,1985.678716,3282.632094,96.3296968,227.041183,132.4772448,22.98778203,87.414,14.5211,287.6711,15480
114,69.09268077,557.6537079,361.6582726,657.941415,17.56917302,40.81390905,56.75442582,11.97252943,87.5594,16.437,289.587,3461
115,1422.193246,1072.375898,256.8657856,1536.699764,1524.69138,107.7210536,92.15702266,174.551619,88.0855,12.005,285.155,20210
116,155.4752651,2110.187675,1470.467086,2578.724718,68.12782838,119.2479667,106.7128154,29.73643098,81.6597,11.1331,284.2831,8643
117,957.5115137,1623.447873,486.6146942,1354.604627,552.7807836,73.18728899,85.77226053,121.4564765,84.1254,13.2351,286.3851,10070
118,1663.840022,1009.720531,102.8191995,901.0455279,2120.894184,98.10646848,77.97021677,216.4607052,88.2448,11.182,284.332,22920
119,1158.281089,514.846347,146.080729,1145.239222,1219.766975,79.24319148,51.21345163,139.1697678,77.7024,3.20144,276.35144,8622
120,399.3378611,416.9027609,418.3980354,1266.724025,307.3754228,27.73763968,63.95341069,47.18577173,87.6762,5.6105,278.7605,7605
121,397.860449,966.6238548,833.9563972,2859.61682,401.4879546,33.63780921,94.44330418,47.67531584,82.4177,7.57161,280.72161,8904
122,1173.505339,745.2196263,72.19993145,547.1299738,1493.159976,71.5167613,51.87527854,142.2655582,74.2744,10.2614,283.4114,8243
123,381.5288099,1266.64731,1030.681038,3968.838929,173.014654,147.0146173,142.15065,57.68878198,82.6931,7.28553,280.43553,10760
124,212.5515165,1956.023277,834.9807825,1831.132465,37.85960754,98.78261072,126.2162194,45.7891416,83.4646,9.44022,282.59022,7436
125,913.0802293,447.4536264,257.8154254,1358.572658,1071.238692,45.98499028,72.98694619,110.1357128,93.6903,5.01022,278.16022,28250
126,242.6098979,1000.537315,512.5597065,1345.271226,122.47554,27.89433446,51.95604202,31.97069396,94.351,5.98176,279.13176,16410
127,469.5876914,2512.83241,961.4876223,1841.401863,579.1979633,145.2527843,133.9959496,89.13917999,91.6091,10.0027,283.1527,24010
